id_cliente,idade,genero,pais,nivel_educacao,score_credito,tipo_conta,saldo_conta,saldo_normalizado,salario_anual,num_produtos,num_transacoes,tempo_cliente,cartao_credito,membro_ativo,ruido_1,ruido_2,ruido_3,churn
18,45,Feminino,Chile,Pós-Graduação,701.0,Corrente,133036.89,0.5113764189738345,34767.85,1,21.0,1.7,1,0,-1.8086805686085732,67,C,1
19,31,Masculino,Brasil,Pós-Graduação,499.0,Corrente,7190.45,-0.5115049864897829,54165.71,1,25.0,1.3,1,1,-2.0795881192924357,55,C,0
20,25,Feminino,Brasil,Graduação,739.0,Premium,22064.9,-0.39060527473394535,102921.62,1,29.0,1.6,0,1,0.6731698148202521,34,A,0
21,59,Masculino,Brasil,Ensino Médio,570.0,Corrente,37829.06,-0.26247398920252046,169730.75,3,27.0,8.1,1,0,0.5513676992826408,43,A,0
22,39,Masculino,Argentina,Ensino Médio,561.0,Corrente,41508.24,-0.2325695691064603,81848.2,1,25.0,13.2,1,0,1.2077764917755949,28,B,0
23,42,Feminino,Brasil,Ensino Médio,639.0,Poupança,29292.54,-0.33185892830265135,149889.83,2,24.0,2.6,1,1,-1.056638214705522,37,C,0
24,24,Feminino,Chile,Graduação,688.0,Poupança,58394.89,-0.09531467110877204,,3,38.0,11.8,0,0,0.7454614547455006,89,C,0
25,35,Feminino,Brasil,Ensino Médio,664.0,Poupança,83401.94,0.10794293753314867,74692.08,1,29.0,1.9,1,0,0.056824062149305965,30,A,0
26,43,Masculino,Brasil,Graduação,583.0,Premium,87690.17,0.14279772348777117,109437.81,1,23.0,3.2,1,1,0.1665864991558592,71,A,0
27,28,Masculino,Brasil,Ensino Médio,604.0,Poupança,11125.95,-0.4795171942947708,28629.7,2,24.0,1.3,0,1,0.6256228953496078,62,B,0
28,46,Masculino,Brasil,Pós-Graduação,548.0,Poupança,25822.82,-0.36006085495361756,36630.85,3,26.0,5.1,1,1,-0.7562817510624437,29,A,0
29,34,Feminino,Brasil,Pós-Graduação,629.0,Corrente,152316.43,0.6680807561953881,139071.41,3,18.0,19.3,1,1,2.5872491354044875,2,A,0
30,38,Feminino,Brasil,,,Corrente,,0.2936751700101299,,1,,4.6,0,0,1.3318803042753538,90,A,0
31,34,Feminino,Argentina,Ensino Médio,649.0,Poupança,6992.33,-0.5131153082760047,21923.67,2,34.0,2.2,1,0,-0.5317059539953605,57,A,0
32,64,Masculino,Brasil,Pós-Graduação,727.0,Poupança,55369.04,-0.11990881696400707,122613.07,2,27.0,5.2,1,1,-1.0907380577233479,57,B,0
33,41,Feminino,Argentina,Doutorado,780.0,Premium,3381.69,-0.5424626344127087,100514.57,3,33.0,0.7,0,1,-0.08790416180469174,42,C,0
34,29,Masculino,Brasil,Ensino Médio,597.0,Poupança,38419.56,-0.25767439797112557,63530.29,1,29.0,11.0,0,1,0.18225844358204224,49,C,0
35,51,Masculino,Colombia,Pós-Graduação,633.0,Poupança,354094.97,2.308139200340465,47694.6,2,31.0,3.5,1,0,1.0656152597083106,57,C,0
36,27,Masculino,Colombia,Pós-Graduação,845.0,Corrente,11643.8,-0.47530810315306393,37680.02,3,21.0,3.0,1,1,-1.168720911568326,71,C,0
37,44,Masculino,Chile,Graduação,779.0,Corrente,13343.87,-0.46148991337362694,58056.35,1,21.0,4.4,1,0,0.2854869431991662,18,C,0
38,18,Masculino,Argentina,Graduação,499.0,Corrente,90838.25,0.16838535627986212,126485.65,2,10.0,4.9,1,0,-1.529015024414789,70,A,0
39,26,Masculino,Brasil,Graduação,684.0,Corrente,5702.38,-0.5236000376730205,56564.66,1,21.0,0.4,0,0,0.4363575934111188,27,C,0
40,44,Masculino,Argentina,Graduação,650.0,Corrente,16995.33,-0.43181080177703207,179903.44,1,21.0,5.7,1,0,-0.10750422045805064,54,A,0
41,50,Masculino,Colombia,Graduação,724.0,Corrente,74289.83,0.033879595864214025,28602.08,1,26.0,1.4,1,1,1.9366797622857632,24,C,0
42,44,Masculino,Brasil,Pós-Graduação,582.0,Poupança,16964.14,-0.4320643144789918,48445.35,3,24.0,6.3,1,0,-1.546002544219677,97,C,0
43,40,Masculino,Brasil,Pós-Graduação,574.0,Poupança,27359.96,-0.34756696220945776,39189.53,1,18.0,8.6,1,0,1.3706083814901049,95,A,0
44,38,Masculino,Brasil,Ensino Médio,589.0,Poupança,88700.68,0.15101116114270233,25563.35,2,28.0,8.1,0,0,-1.7038313351662184,34,C,0
45,24,Feminino,Brasil,Graduação,598.0,Corrente,60225.75,-0.08043341860765146,44718.82,2,29.0,4.0,1,1,-1.3272102744065042,22,A,0
46,33,Feminino,Brasil,Graduação,723.0,Corrente,50020.19,-0.16338433526721904,62968.98,1,33.0,3.7,0,1,-1.6770945584721653,88,B,0
47,36,Masculino,Brasil,Ensino Médio,543.0,Premium,24174.49,-0.3734585013794349,67140.19,2,34.0,0.8,1,1,0.2503526084510541,63,B,0
48,54,Feminino,Brasil,Graduação,593.0,Corrente,56617.5,-0.10976131879508702,180280.87,2,31.0,7.5,0,0,-1.1736988107537336,36,B,0
49,46,Feminino,Colombia,Pós-Graduação,488.0,Premium,31304.61,-0.3155047987023926,64775.35,3,28.0,1.6,0,1,-1.348331505280538,92,C,0
50,20,Masculino,Brasil,Graduação,740.0,Corrente,62904.11,-0.05866367572785658,,2,36.0,3.4,1,0,0.2027676016233806,84,C,0
51,45,Masculino,Chile,Ensino Médio,764.0,Poupança,20003.88,-0.40735727053365667,51003.86,2,26.0,1.7,1,0,0.4517753858746905,61,C,0
52,37,Feminino,Brasil,Ensino Médio,620.0,Corrente,29170.62,-0.33284989555571093,134166.03,1,34.0,0.7,1,1,0.03984930415032582,82,C,1
53,33,Feminino,Brasil,Graduação,623.0,Corrente,11070.63,-0.4799668359322319,206709.47,3,25.0,5.0,1,0,-0.1622191490215529,42,A,0
54,49,Feminino,Brasil,Graduação,690.0,Corrente,34821.52,-0.28691931115352715,67416.9,1,30.0,0.3,1,0,1.8289096324371783,96,B,0
55,54,Feminino,Brasil,Graduação,782.0,Poupança,13722.59,-0.4584116725757373,27021.94,2,15.0,6.9,1,0,0.14583626624197032,33,A,0
56,53,Masculino,Brasil,Graduação,686.0,Corrente,9539.0,-0.492415943328915,35267.49,1,25.0,1.9,1,0,0.8056914739222492,74,B,0
57,31,Masculino,Brasil,,,Poupança,,-0.167344627954069,,3,,0.0,1,0,0.14292212568995877,9,B,0
58,38,Masculino,Brasil,Ensino Médio,504.0,Corrente,46877.25,-0.1889301900763644,64466.36,2,17.0,3.6,1,0,-1.0978762882546842,25,A,0
59,45,Masculino,Argentina,Graduação,549.0,Corrente,92915.75,0.18527130172139122,74537.31,2,25.0,0.2,1,0,0.5498876819020168,13,A,0
60,53,Masculino,Brasil,Ensino Médio,656.0,Premium,21647.59,-0.3939971755244169,64609.62,1,23.0,1.6,1,1,-0.6557973114697923,47,A,0
61,36,Masculino,Brasil,Pós-Graduação,591.0,Premium,59258.44,-0.08829572613354579,49226.68,1,23.0,6.1,1,1,-0.09098613803923626,45,B,0
62,39,Masculino,Argentina,Ensino Médio,667.0,Poupança,70330.24,0.001695999854190376,33465.85,2,25.0,0.3,1,1,0.305402681893426,5,A,0
63,28,Masculino,Brasil,Graduação,600.0,Corrente,61928.05,-0.06659710336090537,62360.23,2,34.0,9.1,1,1,-1.941418066886643,31,C,0
64,27,Masculino,Brasil,Graduação,554.0,Corrente,13483.41,-0.46035573054478895,,1,29.0,0.0,1,1,-1.6095021238917289,31,A,1
65,51,Masculino,Brasil,Graduação,544.0,Premium,43444.35,-0.21683284331642472,90396.17,4,25.0,1.4,1,1,0.9094591724975633,98,B,0
66,58,Masculino,Brasil,,,Corrente,,-0.11301935122386318,,3,,6.8,1,0,-0.663746446598944,90,B,0
67,41,Masculino,Brasil,Graduação,730.0,Poupança,36629.68,-0.27222256453039584,90920.44,1,28.0,1.9,0,1,-0.6163219891088609,71,A,1
68,54,Feminino,Brasil,Pós-Graduação,805.0,Corrente,2969.73,-0.545811050337663,39236.46,3,25.0,0.5,1,0,0.16643839737082022,41,A,0
69,46,Feminino,Brasil,Graduação,698.0,Premium,44028.29,-0.212086571845365,36135.86,2,25.0,2.2,1,0,-0.38567259712186935,46,B,0
70,34,Masculino,Argentina,,,Corrente,,3.629037019616149,,2,20.0,1.6,0,0,0.41758838164278955,52,B,0
71,46,Masculino,Brasil,,,Corrente,,-0.3783291314378619,,1,,9.2,1,1,-0.05112178873304408,84,A,0
72,60,Feminino,Brasil,Graduação,647.0,Poupança,15158.36,-0.4467417164329771,38055.33,2,29.0,1.9,1,1,0.19860295018044843,86,C,0
73,41,Masculino,Chile,Graduação,669.0,Premium,56841.29,-0.10794235093450467,101211.21,2,21.0,7.8,1,0,-0.7018583902422526,5,C,0
74,60,Feminino,Argentina,Pós-Graduação,646.0,Premium,52831.02,-0.140537874605167,36857.19,1,29.0,11.1,1,1,0.1935948232809277,12,C,0
75,18,Masculino,Brasil,Pós-Graduação,384.0,Poupança,151946.26,0.6650720099022037,30283.76,2,24.0,2.8,0,1,1.105089086835444,21,B,0
76,51,Feminino,Colombia,Graduação,794.0,Poupança,8026.94,-0.5047059855259395,157242.79,2,28.0,12.0,1,0,-0.5677482161141986,9,C,0
77,43,Feminino,Brasil,Graduação,694.0,Poupança,87348.08,0.14001721177846063,37390.61,2,30.0,2.4,0,0,0.9153183002721513,93,C,0
78,38,Feminino,Brasil,Ensino Médio,679.0,Poupança,73755.18,0.02953395411677062,53750.97,1,22.0,16.6,0,0,-0.051560318322649144,91,A,0
79,43,Masculino,Colombia,Graduação,644.0,Premium,30620.47,-0.3210654970005239,64266.49,3,19.0,0.5,1,1,0.7344816559779378,17,A,1
80,18,Feminino,Chile,Graduação,664.0,Corrente,54525.56,-0.1267646327334516,24784.76,2,22.0,5.8,0,0,0.1287713183531109,24,C,0
81,39,Feminino,Brasil,Pós-Graduação,596.0,Poupança,124910.03,0.44532120137049136,102877.09,1,27.0,3.4,0,0,-0.03341092009792633,27,B,0
82,46,Feminino,Argentina,Graduação,705.0,Poupança,103443.25,0.270838950643508,71845.37,1,28.0,2.5,1,0,0.34972968207636607,8,C,0
83,59,Masculino,Argentina,Pós-Graduação,532.0,Poupança,9213.06,-0.49506518764044904,124870.24,2,22.0,5.0,1,1,1.213597562302249,44,A,0
84,35,Feminino,Brasil,Ensino Médio,666.0,Premium,97167.33,0.21982819602718967,32613.02,3,24.0,6.1,1,1,0.23609729421507558,62,A,0
85,32,Masculino,Brasil,Graduação,700.0,Corrente,33603.1,-0.29682264383457063,52024.78,1,28.0,0.0,1,0,0.47853083090839754,29,A,1
86,35,Masculino,Brasil,Pós-Graduação,632.0,Corrente,39634.25,-0.24780138277576044,50192.13,2,31.0,0.9,1,1,-0.36848491357670143,83,C,0
87,52,Feminino,Chile,Ensino Médio,683.0,Corrente,39649.61,-0.24767653650765845,57430.63,1,27.0,6.2,0,0,1.5708864739950257,74,B,0
88,45,Masculino,Brasil,Ensino Médio,560.0,Corrente,30324.41,-0.32347187630614077,20480.55,2,23.0,5.5,1,0,0.6403371109296716,24,C,0
89,35,Feminino,Argentina,Graduação,563.0,Corrente,151759.0,0.6635499583289758,52391.61,4,25.0,16.9,1,1,0.07770846002500614,34,A,0
90,48,Feminino,Brasil,Pós-Graduação,671.0,Premium,32844.46,-0.30298887904504557,20829.42,2,25.0,7.2,1,1,-0.1226536722546745,60,A,0
91,43,Masculino,Brasil,Graduação,711.0,Poupança,9476.26,-0.492925894817243,60779.05,1,35.0,15.1,1,0,0.9779082692731105,31,A,0
92,53,Feminino,Argentina,Graduação,481.0,Premium,22646.58,-0.38587737257056215,13667.97,2,21.0,6.1,1,0,-0.6062040770452595,4,A,0
93,33,Feminino,Argentina,Graduação,696.0,Corrente,45000.72,-0.20418264889676999,16139.87,1,31.0,1.8,0,1,-1.782875016271333,95,C,0
94,38,Masculino,Brasil,Graduação,601.0,Premium,158745.53,0.7203365597275829,80107.86,1,29.0,0.6,0,1,0.07239959942445533,9,C,0
95,37,Feminino,Brasil,Pós-Graduação,632.0,Poupança,74885.35,0.03871998971708501,35309.13,2,21.0,7.6,0,1,1.1900045731143436,90,B,0
96,24,Masculino,Brasil,Ensino Médio,529.0,Corrente,13086.78,-0.4635795440420086,27099.9,2,19.0,5.2,1,1,1.591308811184674,77,A,0
97,45,Masculino,Brasil,Graduação,573.0,Poupança,716567.62,5.25432133846151,105083.17,1,21.0,0.2,1,1,-0.1072939434338799,90,C,0
98,45,Masculino,Brasil,Graduação,736.0,Premium,49897.71,-0.16437985420713652,59669.47,3,28.0,2.2,1,1,0.04358766394178335,54,C,0
99,42,Masculino,Argentina,Pós-Graduação,652.0,Corrente,167790.07,0.7938506916090403,82723.1,2,26.0,15.7,1,1,0.5195304325159551,1,A,0
100,39,Masculino,Brasil,,,Poupança,,-0.3239066436811913,,1,,3.5,1,1,-0.26434941886376495,61,C,0
101,25,Feminino,Brasil,Pós-Graduação,639.0,Premium,68873.8,-0.01014196230169924,,2,27.0,2.8,1,0,0.5164059483911488,73,A,0
102,36,Feminino,Brasil,Graduação,694.0,Corrente,99445.22,0.23834291384273948,34108.15,2,27.0,3.1,1,0,-0.08540175106826788,31,B,0
103,37,Masculino,Chile,Ensino Médio,689.0,Poupança,156660.08,0.7033859965886963,139622.46,2,29.0,1.2,1,0,1.0113682571901796,88,A,0
104,32,Masculino,Brasil,Ensino Médio,643.0,Corrente,129164.49,0.479901504351559,47248.7,2,22.0,2.3,1,1,0.7229805130978236,45,A,0
105,40,Masculino,Argentina,Pós-Graduação,748.0,Corrente,103428.56,0.27071955014361093,18165.76,2,28.0,2.3,1,0,0.8102278323024328,60,C,1
106,46,Masculino,Brasil,Pós-Graduação,737.0,Poupança,24881.9,-0.3677086642363341,65493.7,1,24.0,0.3,1,0,-0.205317644802088,86,B,0
107,64,Masculino,Brasil,Doutorado,687.0,Corrente,18286.25,-0.4213181882081374,59210.7,3,23.0,7.3,1,0,1.9259273205022611,73,B,0
108,44,Masculino,Brasil,Ensino Médio,654.0,Poupança,54129.2,-0.12998625166736472,26087.38,2,22.0,2.7,1,0,0.4839119423794722,87,C,0
109,45,Masculino,Brasil,Graduação,709.0,Corrente,111274.31,0.3344899022244181,28188.47,1,28.0,8.6,1,1,0.24729405348683148,84,B,0
110,41,Masculino,Chile,Graduação,678.0,Corrente,27798.44,-0.3440029913997337,,2,27.0,9.5,1,0,-0.7609429805669716,42,B,0
111,18,Feminino,Brasil,Pós-Graduação,745.0,Poupança,130379.72,0.48977890867353696,60466.74,3,18.0,1.2,1,0,-0.0970718201485539,85,A,1
112,41,Feminino,Argentina,,,Corrente,,1.1170410223898652,,3,,5.4,1,1,0.11437976070263597,27,C,0
113,42,Masculino,Brasil,Pós-Graduação,558.0,Corrente,12093.4,-0.47165374884716194,92214.52,1,31.0,3.2,1,1,-0.7876772964243001,58,B,0
114,71,Masculino,Brasil,Graduação,552.0,Poupança,13302.34,-0.46182746972221267,36435.59,1,31.0,10.6,0,0,-0.2923171457690879,69,B,0
115,39,Masculino,Brasil,Ensino Médio,586.0,Premium,30685.64,-0.32053579444243757,22047.43,2,25.0,1.2,1,0,-0.1658000181030098,81,B,0
116,45,Feminino,Argentina,Ensino Médio,737.0,Premium,52529.76,-0.1429865195744642,86218.49,1,24.0,5.7,1,1,0.05592066092321825,98,A,0
117,41,Feminino,Chile,Ensino Médio,508.0,Poupança,19351.39,-0.412660717244195,48331.04,3,22.0,4.7,0,0,-1.7627069900416041,73,A,0
118,27,Feminino,Chile,Graduação,685.0,Premium,183991.2,0.9255336746516976,101691.55,1,25.0,1.7,1,1,-0.1352705407042644,34,C,0
119,55,Feminino,Brasil,Ensino Médio,682.0,Premium,60408.21,-0.07895038149320556,63752.99,1,30.0,0.7,1,0,-0.3773461830799317,10,C,0
120,51,Masculino,Argentina,Graduação,754.0,Corrente,38075.89,-0.2604677519397851,48976.28,1,29.0,5.3,1,0,-0.020884149624899602,66,A,0
121,51,Feminino,Brasil,Graduação,666.0,Corrente,,-0.5172566930757004,,1,16.0,6.7,1,0,1.035276566180256,25,C,0
122,31,Masculino,Argentina,Pós-Graduação,529.0,Corrente,7487.73,-0.5090886910092257,65488.36,2,28.0,1.9,1,0,2.0523954921212058,3,C,0
123,58,Masculino,Colombia,Pós-Graduação,563.0,Corrente,50879.28,-0.15640164122661102,38249.33,2,32.0,5.2,1,1,0.678377199644627,34,C,0
124,25,Feminino,Brasil,Graduação,543.0,Premium,2809.85,-0.5471105569355891,29391.37,1,26.0,2.5,1,1,-1.2344221720663362,71,A,0
125,49,Masculino,Brasil,,,Poupança,,0.42503433304489746,,1,,6.2,1,1,-0.3454069518325343,28,A,0
126,68,Feminino,Argentina,Ensino Médio,633.0,Poupança,30037.91,-0.3258005518146838,44950.06,2,33.0,1.1,0,1,0.5959633088310913,9,B,0
127,30,Masculino,Argentina,Doutorado,545.0,Corrente,1779266.15,13.891948004345107,50018.12,1,24.0,11.0,0,1,0.4832904964290231,11,B,0
128,35,Feminino,Brasil,Graduação,782.0,Corrente,579255.83,4.138249427790655,94242.63,2,21.0,1.7,1,1,0.9873257354530744,93,B,0
129,43,Masculino,Colombia,,,Corrente,,-0.3325310336352916,,2,,2.3,1,1,-0.09735099429059582,80,B,0
130,35,Masculino,Argentina,Pós-Graduação,771.0,Premium,31964.96,-0.31013746581559903,49464.99,2,25.0,0.3,1,0,-0.36350024436550565,39,C,1
131,23,Feminino,Brasil,Graduação,756.0,Corrente,119934.11,0.4048768626742635,34207.85,3,28.0,0.6,1,0,1.7524240039160388,93,C,0
132,42,Feminino,Brasil,Pós-Graduação,730.0,Premium,280353.65,1.708768848327787,63477.7,3,26.0,3.6,1,1,0.05867060336963758,13,A,0
133,29,Feminino,Argentina,Graduação,587.0,Corrente,5086.6,-0.528605105054,60469.64,3,19.0,1.6,1,1,-1.0166743760211148,99,C,0
134,47,Feminino,Brasil,Graduação,680.0,Poupança,4257.13,-0.5353470473718749,84159.16,1,21.0,9.0,0,1,1.475133657032921,11,C,0
135,30,Feminino,Brasil,Graduação,535.0,Poupança,17215.38,-0.4300222326822506,34631.63,1,20.0,0.1,1,1,-1.4960954913944449,35,C,0
136,60,Feminino,Brasil,Pós-Graduação,731.0,Premium,,0.024031289826077384,,1,19.0,2.4,1,0,-3.4950452224886055,8,B,1
137,32,Masculino,Argentina,Pós-Graduação,643.0,Corrente,65923.37,-0.034123093473324186,78848.41,3,29.0,2.1,1,1,0.7693867580375736,7,A,0
138,38,Masculino,Argentina,Graduação,613.0,Corrente,131101.32,0.49564408231041185,57029.72,4,24.0,0.1,1,1,0.9107009710246312,69,B,0
139,51,Masculino,Brasil,Ensino Médio,539.0,Corrente,8607.27,-0.4999890561790887,28460.41,3,26.0,0.7,1,0,0.41401294194469096,70,C,0
140,27,Feminino,Argentina,Graduação,427.0,Premium,2254.37,-0.5516255051781214,107358.87,1,25.0,2.7,1,1,-1.3024560839920498,57,C,0
141,44,Masculino,Colombia,Doutorado,556.0,Corrente,101683.17,0.2565329988491751,17693.09,3,34.0,3.4,1,1,-0.0588698552423208,35,A,1
142,57,Feminino,Brasil,Graduação,750.0,Corrente,13442.34,-0.46068954800774137,78477.78,1,26.0,2.6,1,1,-0.2781685735538712,94,B,1
143,22,Masculino,Argentina,Pós-Graduação,613.0,Poupança,3222.18,-0.5437591336461038,22945.4,1,22.0,3.8,1,1,-0.5372890108923895,11,C,0
144,44,Feminino,Colombia,Graduação,634.0,Poupança,43220.77,-0.21865010429443535,151975.27,1,24.0,4.5,0,0,1.4120694308092794,38,A,0
145,45,Masculino,Argentina,Graduação,708.0,Poupança,94071.54,0.1946655769954537,19404.11,1,30.0,0.0,0,0,-1.046666058631689,91,C,0
146,51,Masculino,Argentina,Graduação,812.0,Premium,31367.62,-0.31499265265075815,97865.6,2,28.0,3.1,1,1,0.3161044531063998,85,C,0
147,27,Feminino,Brasil,Pós-Graduação,769.0,Poupança,20964.42,-0.39954998965066935,46677.59,1,22.0,16.6,1,0,1.194046983662575,78,A,0
148,26,Masculino,Brasil,Pós-Graduação,562.0,Premium,29994.38,-0.3261543641877619,39341.63,2,28.0,3.7,1,1,0.3814415253190378,49,A,0
149,48,Masculino,Brasil,Graduação,475.0,Poupança,23278.85,-0.3807382742676425,54788.63,2,19.0,5.7,1,0,1.2411183724953738,35,C,0
150,45,Masculino,Argentina,Graduação,862.0,Corrente,7203.65,-0.5113976967281327,71620.76,3,21.0,1.9,1,1,0.5637147224289293,29,A,0
151,45,Masculino,Colombia,Graduação,854.0,Premium,15404.01,-0.4447450702246923,28491.46,2,25.0,7.4,1,0,0.4293496704920289,88,C,0
152,46,Masculino,Brasil,Ensino Médio,666.0,Poupança,67882.66,-0.018197960359421086,30047.28,1,22.0,7.4,0,0,0.36683486883214705,41,B,0
153,33,Feminino,Brasil,Pós-Graduação,535.0,Corrente,53423.94,-0.13571861358413617,72385.62,3,24.0,3.7,1,1,0.6134432666501503,96,C,0
154,44,Masculino,Brasil,Graduação,736.0,Poupança,44430.07,-0.20882089908507737,17598.94,3,19.0,18.7,1,1,-0.38553909741226045,6,A,0
155,45,Feminino,Argentina,Pós-Graduação,640.0,Corrente,11001.88,-0.4805256367741597,34525.81,1,31.0,0.7,1,1,-1.3018738518727866,10,B,1
156,33,Masculino,Brasil,Pós-Graduação,639.0,Corrente,29207.95,-0.3325464768585594,303887.3,2,23.0,0.1,0,1,0.9540434114633092,84,A,0
157,64,Feminino,Argentina,Pós-Graduação,730.0,Poupança,2663.83,-0.5482974092837827,27424.5,1,27.0,7.4,1,0,1.161742300505766,84,C,0
158,47,Feminino,Brasil,Pós-Graduação,680.0,Poupança,44988.94,-0.2042783968810305,97604.77,1,28.0,8.2,1,0,0.2519788109060436,90,A,0
159,27,Masculino,Brasil,Graduação,543.0,Poupança,201718.66,1.0696226866261327,34490.17,2,29.0,0.6,1,0,-0.5483756196343702,85,C,0
160,49,Masculino,Brasil,Pós-Graduação,620.0,Corrente,6192.17,-0.5196190185549429,66531.25,3,25.0,1.5,1,1,-1.557717116529638,23,A,0
161,30,Masculino,Chile,Ensino Médio,709.0,Premium,17977.69,-0.42382616766683207,72592.25,1,24.0,0.1,1,0,0.0858070999233881,46,A,0
162,51,Feminino,Brasil,Graduação,695.0,Corrente,53902.28,-0.1318306602062777,96507.31,3,32.0,1.7,1,1,-1.3489503447179714,12,C,0
163,55,Feminino,Colombia,Pós-Graduação,673.0,Corrente,163310.92,0.7574441055563689,43470.93,3,33.0,7.4,1,0,-1.4889875026379256,55,B,0
164,32,Feminino,Brasil,Graduação,734.0,Corrente,21207.93,-0.39757073738859144,161672.96,3,22.0,3.6,1,0,-0.020731528015692665,13,C,0
165,53,Masculino,Brasil,Pós-Graduação,617.0,Corrente,15824.26,-0.4413292730782169,34420.17,1,18.0,2.1,0,1,-0.7637695011880145,74,B,0
166,46,Masculino,Brasil,Pós-Graduação,666.0,Corrente,3419.65,-0.5421540950678422,56417.36,3,27.0,2.3,1,1,0.3453095561647705,7,B,0
167,51,Masculino,Colombia,Pós-Graduação,346.0,Poupança,41114.9,-0.23576664144338977,56792.88,1,33.0,0.0,1,0,-0.1592956025618743,12,B,1
168,64,Masculino,Argentina,Graduação,609.0,Premium,421043.42,2.8522970218061388,25004.7,2,17.0,1.8,1,0,-0.60663456622261,61,B,0
169,39,Masculino,Brasil,Graduação,718.0,Premium,50656.87,-0.15820939243029353,41294.17,1,25.0,5.2,1,0,-1.7049150807289657,25,C,0
170,32,Masculino,Argentina,Graduação,614.0,Poupança,35357.48,-0.2825630217100412,54009.11,1,23.0,18.3,0,0,-0.8528881258303576,2,C,0
171,31,Feminino,Brasil,Pós-Graduação,608.0,Corrente,53449.83,-0.13550817934708145,37825.07,2,27.0,9.4,0,1,-0.8161364900510906,26,B,0
172,32,Feminino,Brasil,Graduação,556.0,Poupança,35835.33,-0.2786790510581834,212045.12,1,25.0,0.1,1,0,-1.225307673514962,51,B,0
173,41,Feminino,Brasil,Graduação,740.0,Poupança,13689.48,-0.45868079106120974,29638.39,1,37.0,11.4,1,0,-0.32904429524238493,69,B,0
174,46,Masculino,Chile,Graduação,699.0,Corrente,97532.01,0.22279231953314235,,1,25.0,7.6,1,1,-1.1472519911746517,62,B,0
175,45,Feminino,Brasil,Ensino Médio,724.0,Poupança,47615.51,-0.18292960375546752,81950.93,2,23.0,7.6,0,1,-0.16374274729121518,72,B,0
176,51,Feminino,Brasil,Ensino Médio,494.0,Corrente,37091.23,-0.26847108047815144,48614.77,1,17.0,3.1,1,0,0.24041121366865606,73,B,0
177,42,Feminino,Brasil,Ensino Médio,635.0,Corrente,11266.18,-0.47837740313748284,29169.37,3,22.0,2.5,0,0,-0.8261699543891778,39,A,0
178,59,Feminino,Brasil,Graduação,624.0,Poupança,173548.0,0.8406512171619372,30916.55,1,26.0,1.8,1,0,0.42540862941858476,84,B,0
